Designator	Val	Package	Mid X	Mid Y	Rotation	Layer
C1	10u	C_0805_2012Metric	100.4	-123.225	-90	top
C10	1n	C_0603_1608Metric	237.950001	-137.3825	90	top
C11	1n	C_0603_1608Metric	120.887501	-137.3575	90	top
C12	1n	C_0603_1608Metric	340.887501	-137.3575	90	top
C13	10u	C_0805_2012Metric	267.98125	-134.91875	180	top
C14	1n	C_0603_1608Metric	127.950001	-137.3825	90	top
C15	10u	C_0805_2012Metric	269.9	-119.9	180	top
C16	1n	C_0603_1608Metric	112.587501	-133.8175	-90	top
C17	10u	C_0805_2012Metric	176.231249	-138.69375	90	top
C18	1n	C_0603_1608Metric	113.862501	-137.3275	90	top
C19	10u	C_0805_2012Metric	267.98125	-137.11875	180	top
C2	10u	C_0805_2012Metric	370.962501	-128.0625	0	top
C20	100n	C_0603_1608Metric	268.237501	-133.1	0	top
C21	100n	C_0603_1608Metric	265.78125	-132.36875	90	top
C22	10u	C_0805_2012Metric	277.662501	-124.25	180	top
C23	1n	C_0603_1608Metric	333.862501	-137.3275	90	top
C24	1n	C_0603_1608Metric	223.862501	-137.3275	90	top
C25	1n	C_0603_1608Metric	230.887501	-137.3575	90	top
C26	1n	C_0603_1608Metric	106.825001	-137.3075	90	top
C27	10u	C_0805_2012Metric	148.2	-123	0	top
C28	10u	C_0805_2012Metric	174.031249	-138.69375	90	top
C29	100n	C_0603_1608Metric	177.999999	-138.5	-90	top
C3	1n	C_0603_1608Metric	134.962501	-137.4075	90	top
C30	100n	C_0603_1608Metric	183.031249	-143.69375	90	top
C31	10u	C_0805_2012Metric	167.662501	-124.25	180	top
C32	1n	C_0603_1608Metric	326.825001	-137.3075	90	top
C33	1n	C_0603_1608Metric	332.587501	-133.8175	-90	top
C34	1n	C_0603_1608Metric	222.587501	-133.8175	-90	top
C35	1n	C_0603_1608Metric	216.825001	-137.3075	90	top
C36	10u	C_0805_2012Metric	269.9	-121.900001	180	top
C37	100n	C_0603_1608Metric	256.95	-126.6325	-90	top
C38	100n	C_0603_1608Metric	264.525	-124.25	180	top
C39	10u	C_0805_2012Metric	217.662501	-124.25	180	top
C4	10u	C_0805_2012Metric	370.962501	-126.062499	0	top
C40	1n	C_0603_1608Metric	244.962501	-137.4075	90	top
C41	100n	C_0603_1608Metric	155.95	-125.75	180	top
C42	100n	C_0603_1608Metric	148.5	-125.8	-90	top
C43	10u	C_0805_2012Metric	107.662501	-124.25	180	top
C44	1n	C_0603_1608Metric	119.625001	-133.8175	-90	top
C45	1n	C_0603_1608Metric	140.750001	-133.9175	-90	top
C46	1n	C_0603_1608Metric	126.675001	-133.8425	-90	top
C47	1n	C_0603_1608Metric	339.625001	-133.8175	-90	top
C48	1n	C_0603_1608Metric	346.675001	-133.8425	-90	top
C49	1n	C_0603_1608Metric	236.675001	-133.8425	-90	top
C5	100n	C_0603_1608Metric	371.150001	-129.799999	180	top
C50	1n	C_0603_1608Metric	229.625001	-133.8175	-90	top
C51	1n	C_0603_1608Metric	133.700001	-133.8925	-90	top
C52	1n	C_0603_1608Metric	61.275001	-157.449999	-90	top
C53	1n	C_0603_1608Metric	353.700001	-133.8925	-90	top
C54	1n	C_0603_1608Metric	75.275001	-157.449999	-90	top
C55	1n	C_0603_1608Metric	68.275001	-157.449999	-90	top
C56	100n	C_0603_1608Metric	84.462501	-149.7	-90	top
C57	10u	C_0805_2012Metric	54.025002	-153.937499	-90	top
C58	10u	C_0805_2012Metric	79.4825	-153.5325	0	top
C59	100n	C_0603_1608Metric	79.4825	-155.2825	180	top
C6	100n	C_0603_1608Metric	367.662501	-136.3	180	top
C60	10u	C_0805_2012Metric	68.5	-112.625	0	top
C61	10u	C_0805_2012Metric	70.55	-110.625	0	top
C62	1n	C_0603_1608Metric	360.750001	-133.9175	-90	top
C63	1n	C_0603_1608Metric	250.750001	-133.9175	-90	top
C64	1n	C_0603_1608Metric	243.700001	-133.8925	-90	top
C67	10u	C_0805_2012Metric	164.8	-152.4	-90	top
C68	100n	C_0603_1608Metric	140.3	-160.2	0	top
C69	100n	C_0603_1608Metric	143.1	-154.5	-90	top
C7	10u	C_0805_2012Metric	327.75	-124.25	180	top
C72	10u	C_0805_2012Metric	280.4	-153.35	-90	top
C73	100n	C_0603_1608Metric	282.2	-154.7	90	top
C76	10u	C_0805_2012Metric	70.56	-108.47	0	top
C77	10n	C_0805_2012Metric	110.125	-153.6	180	top
C79	10u	C_0805_2012Metric	125.6	-158.7	0	top
C8	1n	C_0603_1608Metric	354.962501	-137.4075	90	top
C80	100n	C_0603_1608Metric	125.8	-156.8	180	top
C85	1n	C_0603_1608Metric	276.825001	-137.3075	90	top
C86	1n	C_0603_1608Metric	282.587501	-133.8175	-90	top
C87	1n	C_0603_1608Metric	289.650001	-133.8425	-90	top
C88	1n	C_0603_1608Metric	296.675001	-133.8725	-90	top
C89	1n	C_0603_1608Metric	303.687501	-133.8875	-90	top
C9	1n	C_0603_1608Metric	347.950001	-137.3825	90	top
C90	1n	C_0603_1608Metric	310.750001	-133.9175	-90	top
C91	1n	C_0603_1608Metric	166.825001	-137.3075	90	top
C92	1n	C_0603_1608Metric	172.587501	-133.8175	-90	top
C93	1n	C_0603_1608Metric	179.650001	-133.8425	-90	top
C94	1n	C_0603_1608Metric	186.675001	-133.8725	-90	top
C95	1n	C_0603_1608Metric	193.687501	-133.8875	-90	top
C96	1n	C_0603_1608Metric	200.750001	-133.9175	-90	top
D10	1N4148W	D_SOD-123	350.829227	-69.8	-45	top
D100	1N4148W	D_SOD-123	310.829227	-79.3	-45	top
D101	1N4148W	D_SOD-123	305.829227	-79.3	-45	top
D102	1N4148W	D_SOD-123	295.779331	-79.3	-45	top
D103	1N4148W	D_SOD-123	290.779331	-79.3	-45	top
D104	1N4148W	D_SOD-123	280.779331	-79.3	-45	top
D105	1N4148W	D_SOD-123	310.829227	-84.05	-45	top
D106	1N4148W	D_SOD-123	305.829227	-84.05	-45	top
D107	1N4148W	D_SOD-123	300.829227	-84.05	-45	top
D108	1N4148W	D_SOD-123	295.779331	-84.05	-45	top
D109	1N4148W	D_SOD-123	280.779331	-84.05	-45	top
D11	1N4148W	D_SOD-123	345.779331	-69.8	-45	top
D110	1N4148W	D_SOD-123	305.829227	-88.8	-45	top
D111	1N4148W	D_SOD-123	300.829227	-88.8	-45	top
D112	1N4148W	D_SOD-123	285.779331	-88.8	-45	top
D113	1N4148W	D_SOD-123	280.779331	-88.8	-45	top
D114	1N4148W	D_SOD-123	310.829227	-93.55	-45	top
D115	1N4148W	D_SOD-123	300.829227	-93.55	-45	top
D116	1N4148W	D_SOD-123	295.779331	-93.55	-45	top
D117	1N4148W	D_SOD-123	285.779331	-93.55	-45	top
D118	1N4148W	D_SOD-123	280.779331	-93.55	-45	top
D12	1N4148W	D_SOD-123	340.779331	-69.8	-45	top
D123	1N4148W	D_SOD-123	267.75	-130	-90	top
D127	1N4148W	D_SOD-123	337.062501	-136.8275	180	top
D13	1N4148W	D_SOD-123	335.779331	-69.8	-45	top
D130	1N4148W	D_SOD-123	227.062501	-136.8275	180	top
D132	1N4148W	D_SOD-123	234.087501	-136.8575	180	top
D134	1N4148W	D_SOD-123	135.829227	-69.8	-45	top
D136	1N4148W	D_SOD-123	130.829227	-69.8	-45	top
D137	1N4148W	D_SOD-123	181.099999	-138.0125	180	top
D139	1N4148W	D_SOD-123	330.025001	-136.8075	180	top
D14	1N4148W	D_SOD-123	355.829227	-74.55	-45	top
D141	1N4148W	D_SOD-123	329.387501	-134.3175	0	top
D142	1N4148W	D_SOD-123	219.387501	-134.3175	0	top
D144	1N4148W	D_SOD-123	220.025001	-136.8075	180	top
D147	1N4148W	D_SOD-123	260.05	-126.145	180	top
D148	1N4148W	D_SOD-123	248.162501	-136.9075	180	top
D15	1N4148W	D_SOD-123	350.829227	-74.55	-45	top
D150	1N4148W	D_SOD-123	250.829227	-69.8	-45	top
D151	1N4148W	D_SOD-123	245.829227	-69.8	-45	top
D152	1N4148W	D_SOD-123	240.829227	-69.8	-45	top
D153	1N4148W	D_SOD-123	235.779331	-69.8	-45	top
D154	1N4148W	D_SOD-123	230.779331	-69.8	-45	top
D155	1N4148W	D_SOD-123	225.779331	-69.8	-45	top
D156	1N4148W	D_SOD-123	245.829227	-74.55	-45	top
D157	1N4148W	D_SOD-123	240.829227	-74.55	-45	top
D158	1N4148W	D_SOD-123	250.829227	-79.3	-45	top
D159	1N4148W	D_SOD-123	245.829227	-79.3	-45	top
D16	1N4148W	D_SOD-123	360.829227	-79.3	-45	top
D160	1N4148W	D_SOD-123	235.779331	-79.3	-45	top
D161	1N4148W	D_SOD-123	230.779331	-79.3	-45	top
D162	1N4148W	D_SOD-123	220.779331	-79.3	-45	top
D163	1N4148W	D_SOD-123	250.829227	-84.05	-45	top
D164	1N4148W	D_SOD-123	245.829227	-84.05	-45	top
D165	1N4148W	D_SOD-123	240.829227	-84.05	-45	top
D166	1N4148W	D_SOD-123	235.779331	-84.05	-45	top
D167	1N4148W	D_SOD-123	220.779331	-84.05	-45	top
D168	1N4148W	D_SOD-123	245.829227	-88.8	-45	top
D169	1N4148W	D_SOD-123	240.829227	-88.8	-45	top
D17	1N4148W	D_SOD-123	355.829227	-79.3	-45	top
D170	1N4148W	D_SOD-123	225.779331	-88.8	-45	top
D171	1N4148W	D_SOD-123	220.779331	-88.8	-45	top
D172	1N4148W	D_SOD-123	250.829227	-93.55	-45	top
D173	1N4148W	D_SOD-123	240.829227	-93.55	-45	top
D174	1N4148W	D_SOD-123	235.779331	-93.55	-45	top
D175	1N4148W	D_SOD-123	225.779331	-93.55	-45	top
D176	1N4148W	D_SOD-123	220.779331	-93.55	-45	top
D177	1N4148W	D_SOD-123	250.829227	-98.3	-45	top
D178	1N4148W	D_SOD-123	240.829227	-98.3	-45	top
D179	1N4148W	D_SOD-123	235.779331	-98.3	-45	top
D18	1N4148W	D_SOD-123	345.779331	-79.3	-45	top
D180	1N4148W	D_SOD-123	230.779331	-98.3	-45	top
D181	1N4148W	D_SOD-123	225.779331	-98.3	-45	top
D182	1N4148W	D_SOD-123	220.779331	-98.3	-45	top
D183	1N4148W	D_SOD-123	250.829227	-103.05	-45	top
D184	1N4148W	D_SOD-123	245.829227	-103.05	-45	top
D185	1N4148W	D_SOD-123	240.829227	-103.05	-45	top
D186	1N4148W	D_SOD-123	250.829227	-107.8	-45	top
D187	1N4148W	D_SOD-123	245.7	-107.7	-45	top
D188	1N4148W	D_SOD-123	240.829227	-107.8	-45	top
D189	1N4148W	D_SOD-123	235.779331	-107.8	-45	top
D19	1N4148W	D_SOD-123	340.779331	-79.3	-45	top
D190	1N4148W	D_SOD-123	230.779331	-107.8	-45	top
D191	1N4148W	D_SOD-123	225.779331	-107.8	-45	top
D192	1N4148W	D_SOD-123	220.779331	-107.8	-45	top
D193	1N4148W	D_SOD-123	249.1	-111.1	-45	top
D194	1N4148W	D_SOD-123	245.879123	-112.55	-45	top
D195	1N4148W	D_SOD-123	240.879123	-112.55	-45	top
D196	1N4148W	D_SOD-123	235.829227	-112.55	-45	top
D197	1N4148W	D_SOD-123	225.829227	-112.55	-45	top
D198	1N4148W	D_SOD-123	220.829227	-112.55	-45	top
D20	1N4148W	D_SOD-123	330.779331	-79.3	-45	top
D200	1N4148W	D_SOD-123	125.779331	-69.8	-45	top
D202	1N4148W	D_SOD-123	120.779331	-69.8	-45	top
D203	1N4148W	D_SOD-123	115.779331	-69.8	-45	top
D204	1N4148W	D_SOD-123	135.829227	-74.55	-45	top
D205	1N4148W	D_SOD-123	130.829227	-74.55	-45	top
D206	1N4148W	D_SOD-123	140.829227	-79.3	-45	top
D207	1N4148W	D_SOD-123	135.829227	-79.3	-45	top
D208	1N4148W	D_SOD-123	125.779331	-79.3	-45	top
D209	1N4148W	D_SOD-123	120.779331	-79.3	-45	top
D21	1N4148W	D_SOD-123	360.829227	-84.05	-45	top
D210	1N4148W	D_SOD-123	110.779331	-79.3	-45	top
D211	1N4148W	D_SOD-123	140.829227	-84.05	-45	top
D212	1N4148W	D_SOD-123	135.829227	-84.05	-45	top
D213	1N4148W	D_SOD-123	130.829227	-84.05	-45	top
D214	1N4148W	D_SOD-123	125.779331	-84.05	-45	top
D215	1N4148W	D_SOD-123	110.779331	-84.05	-45	top
D216	1N4148W	D_SOD-123	135.829227	-88.8	-45	top
D217	1N4148W	D_SOD-123	130.829227	-88.8	-45	top
D218	1N4148W	D_SOD-123	115.779331	-88.8	-45	top
D219	1N4148W	D_SOD-123	110.779331	-88.8	-45	top
D22	1N4148W	D_SOD-123	355.829227	-84.05	-45	top
D220	1N4148W	D_SOD-123	140.829227	-93.55	-45	top
D221	1N4148W	D_SOD-123	130.829227	-93.55	-45	top
D222	1N4148W	D_SOD-123	125.779331	-93.55	-45	top
D223	1N4148W	D_SOD-123	115.779331	-93.55	-45	top
D224	1N4148W	D_SOD-123	110.779331	-93.55	-45	top
D225	1N4148W	D_SOD-123	140.829227	-98.3	-45	top
D226	1N4148W	D_SOD-123	130.829227	-98.3	-45	top
D227	1N4148W	D_SOD-123	125.779331	-98.3	-45	top
D228	1N4148W	D_SOD-123	120.779331	-98.3	-45	top
D229	1N4148W	D_SOD-123	115.779331	-98.3	-45	top
D23	1N4148W	D_SOD-123	350.829227	-84.05	-45	top
D230	1N4148W	D_SOD-123	110.779331	-98.3	-45	top
D231	1N4148W	D_SOD-123	140.829227	-103.05	-45	top
D232	1N4148W	D_SOD-123	135.829227	-103.05	-45	top
D233	1N4148W	D_SOD-123	130.829227	-103.05	-45	top
D234	1N4148W	D_SOD-123	140.829227	-107.8	-45	top
D235	1N4148W	D_SOD-123	135.6	-107.6	-45	top
D236	1N4148W	D_SOD-123	130.829227	-107.8	-45	top
D237	1N4148W	D_SOD-123	125.779331	-107.8	-45	top
D238	1N4148W	D_SOD-123	120.779331	-107.8	-45	top
D239	1N4148W	D_SOD-123	115.779331	-107.8	-45	top
D24	1N4148W	D_SOD-123	345.779331	-84.05	-45	top
D240	1N4148W	D_SOD-123	110.779331	-107.8	-45	top
D241	1N4148W	D_SOD-123	138.9	-111.1	-45	top
D242	1N4148W	D_SOD-123	135.879123	-112.55	-45	top
D243	1N4148W	D_SOD-123	130.879123	-112.55	-45	top
D244	1N4148W	D_SOD-123	125.829227	-112.55	-45	top
D245	1N4148W	D_SOD-123	115.829227	-112.55	-45	top
D246	1N4148W	D_SOD-123	110.829227	-112.55	-45	top
D247	1N4148W	D_SOD-123	138.162501	-136.9075	180	top
D248	1N4148W	D_SOD-123	124.087501	-136.8575	180	top
D249	1N4148W	D_SOD-123	131.150001	-136.8825	180	top
D25	1N4148W	D_SOD-123	330.779331	-84.05	-45	top
D250	1N4148W	D_SOD-123	109.387501	-134.3175	0	top
D252	1N4148W	D_SOD-123	117.062501	-136.8275	180	top
D253	1N4148W	D_SOD-123	110.025001	-136.8075	180	top
D255	1N4148W	D_SOD-123	336.425001	-134.3175	0	top
D256	1N4148W	D_SOD-123	343.475001	-134.3425	0	top
D258	1N4148W	D_SOD-123	233.475001	-134.3425	0	top
D26	1N4148W	D_SOD-123	355.829227	-88.8	-45	top
D261	1N4148W	D_SOD-123	226.425001	-134.3175	0	top
D262	1N4148W	D_SOD-123	151.6	-125.3125	180	top
D264	1N4148W	D_SOD-123	116.425001	-134.3175	0	top
D265	1N4148W	D_SOD-123	350.500001	-134.3925	0	top
D266	1N4148W	D_SOD-123	137.550001	-134.4175	0	top
D267	1N4148W	D_SOD-123	123.475001	-134.3425	0	top
D269	1N4148W	D_SOD-123	130.500001	-134.3925	0	top
D27	1N4148W	D_SOD-123	350.829227	-88.8	-45	top
D270	1N4148W	D_SOD-123	58.025001	-157.699999	0	top
D271	1N4148W	D_SOD-123	89.162501	-145.3	0	top
D272	1N4148W	D_SOD-123	89.162501	-142.8	0	top
D273	1N4148W	D_SOD-123	89.162501	-140.3	0	top
D274	1N4148W	D_SOD-123	89.162501	-137.8	0	top
D275	1N4148W	D_SOD-123	89.162501	-135.3	0	top
D276	1N4148W	D_SOD-123	89.162501	-132.8	0	top
D277	1N4148W	D_SOD-123	89.162501	-130.3	0	top
D278	1N4148W	D_SOD-123	89.162501	-127.8	0	top
D28	1N4148W	D_SOD-123	335.779331	-88.8	-45	top
D281	1N4148W	D_SOD-123	357.550001	-134.4175	0	top
D285	1N4148W	D_SOD-123	247.550001	-134.4175	0	top
D286	1N4148W	D_SOD-123	240.500001	-134.3925	0	top
D287	1N4148W	D_SOD-123	89.162501	-125.3	0	top
D288	1N4148W	D_SOD-123	72.025001	-157.699999	0	top
D289	1N4148W	D_SOD-123	143	-158.4	-90	top
D29	1N4148W	D_SOD-123	330.779331	-88.8	-45	top
D290	1N4148W	D_SOD-123	152.2	-149.4	-90	top
D291	1N4148W	D_SOD-123	65.025001	-157.699998	0	top
D292	1N4148W	D_SOD-123	80.9825	-150.0325	-90	top
D293	1N4148W	D_SOD-123	266.8	-157.7	90	top
D294	1N4148W	D_SOD-123	92.462501	-104.1	180	top
D295	1N4148W	D_SOD-123	87.465144	-117.035291	180	top
D296	1N4148W	D_SOD-123	57.85	-86.45	180	top
D298	1N4148W	D_SOD-123	62.85	-86.45	180	top
D299	1N4148W	D_SOD-123	109.675	-151.3	180	top
D30	1N4148W	D_SOD-123	360.829227	-93.55	-45	top
D300	1N4148W	D_SOD-123	115.275	-157	0	top
D301	1N4148W	D_SOD-123	259.5	-133.75	-90	top
D302	1N4148W	D_SOD-123	271.162501	-124.25	0	top
D303	1N4148W	D_SOD-123	159.962501	-127	0	top
D304	1N4148W	D_SOD-123	280.025001	-136.8075	180	top
D305	1N4148W	D_SOD-123	279.387501	-134.3175	0	top
D306	1N4148W	D_SOD-123	286.450001	-134.3425	0	top
D307	1N4148W	D_SOD-123	293.475001	-134.3725	0	top
D308	1N4148W	D_SOD-123	300.487501	-134.3875	0	top
D309	1N4148W	D_SOD-123	307.550001	-134.4175	0	top
D31	1N4148W	D_SOD-123	350.829227	-93.55	-45	top
D310	1N4148W	D_SOD-123	170.025001	-136.8075	180	top
D311	1N4148W	D_SOD-123	169.387501	-134.3175	0	top
D312	1N4148W	D_SOD-123	176.450001	-134.3425	0	top
D313	1N4148W	D_SOD-123	183.475001	-134.3725	0	top
